INFO  - 2014-02-11 14:01:39.699; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/gaudinat/Solr/solr-4.6.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-02-11 14:01:39.699; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/gaudinat/Solr/solr-4.6.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-02-11 14:01:39.700; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/gaudinat/Solr/solr-4.6.1/dist/solr-velocity-4.6.1.jar' to classloader
INFO  - 2014-02-11 14:01:39.884; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-02-11 14:01:39.889; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2014-02-11 14:01:39.985; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-02-11 14:01:39.991; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-02-11 14:01:40.062; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-02-11 14:01:40.479; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-02-11 14:01:40.568; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-02-11 14:01:40.575; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-02-11 14:01:40.716; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-02-11 14:01:40.722; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/gaudinat/Solr/solr-4.6.1/webso/solr/collection1/, dataDir=/Users/gaudinat/Solr/solr-4.6.1/webso/solr/collection1/data/
INFO  - 2014-02-11 14:01:40.724; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-02-11 14:01:40.729; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-02-11 14:01:40.730; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-02-11 14:01:40.740; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/gaudinat/Solr/solr-4.6.1/webso/solr/collection1/data
INFO  - 2014-02-11 14:01:40.740; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/gaudinat/Solr/solr-4.6.1/webso/solr/collection1/data/index/
WARN  - 2014-02-11 14:01:40.741; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/gaudinat/Solr/solr-4.6.1/webso/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-02-11 14:01:40.746; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/gaudinat/Solr/solr-4.6.1/webso/solr/collection1/data/index
INFO  - 2014-02-11 14:01:40.804; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/gaudinat/Solr/solr-4.6.1/webso/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@e2f75e5; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-02-11 14:01:40.805; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-02-11 14:01:40.810; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-02-11 14:01:40.811; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-02-11 14:01:40.811; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-02-11 14:01:40.814; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-02-11 14:01:40.814; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-02-11 14:01:40.911; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-02-11 14:01:40.920; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.921; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.923; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-02-11 14:01:40.923; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.927; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2014-02-11 14:01:40.949; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2014-02-11 14:01:40.949; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
WARN  - 2014-02-11 14:01:40.951; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.CSVRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2014-02-11 14:01:40.952; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2014-02-11 14:01:40.952; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-02-11 14:01:40.953; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-02-11 14:01:40.953; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-02-11 14:01:40.953; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-02-11 14:01:40.953; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-02-11 14:01:40.953; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-02-11 14:01:40.956; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-02-11 14:01:40.959; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-02-11 14:01:40.961; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-02-11 14:01:40.968; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-02-11 14:01:40.968; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.968; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.968; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.968; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.968; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
